date	SkinWetness
0.0000000000E+000	0.0000000000E+000
1.6666666667E-002	6.0140071223E-002
3.3333333333E-002	6.0000000000E-002
5.0000000000E-002	6.0000000000E-002
6.6666666667E-002	6.0000000000E-002
8.3333333333E-002	6.0000000000E-002
1.0000000000E-001	6.0000000000E-002
1.1666666667E-001	6.0000000000E-002
1.3333333333E-001	6.0000000000E-002
1.5000000000E-001	6.0000000000E-002
1.6666666667E-001	6.0000000000E-002
1.8333333333E-001	6.0000000000E-002
2.0000000000E-001	6.0173947350E-002
2.1666666667E-001	6.0726251376E-002
2.3333333333E-001	6.1236295404E-002
2.5000000000E-001	6.1709069420E-002
2.6666666667E-001	6.2148832244E-002
2.8333333333E-001	6.2559208773E-002
3.0000000000E-001	6.2943306833E-002
3.1666666667E-001	6.3303808560E-002
3.3333333333E-001	6.3643042641E-002
3.5000000000E-001	6.3963042022E-002
3.6666666667E-001	6.4265590428E-002
3.8333333333E-001	6.4552260185E-002
4.0000000000E-001	6.4824630622E-002
4.1666666667E-001	6.5084084566E-002
4.3333333333E-001	6.5331721157E-002
4.5000000000E-001	6.5568496750E-002
4.6666666667E-001	6.5795255057E-002
4.8333333333E-001	6.6012747314E-002
5.0000000000E-001	6.6221646891E-002
5.1666666667E-001	6.6422607500E-002
5.3333333333E-001	6.6616457296E-002
5.5000000000E-001	6.6803336931E-002
5.6666666667E-001	6.6983704381E-002
5.8333333333E-001	6.7157976254E-002
6.0000000000E-001	6.7326532969E-002
6.1666666667E-001	6.7489722787E-002
6.3333333333E-001	6.7647865248E-002
6.5000000000E-001	6.7801399564E-002
6.6666666667E-001	6.7950886438E-002
6.8333333333E-001	6.8096219388E-002
7.0000000000E-001	6.8237663450E-002
7.1666666667E-001	6.8375461377E-002
7.3333333333E-001	6.8509836908E-002
7.5000000000E-001	6.8640996973E-002
7.6666666667E-001	6.8769133446E-002
7.8333333333E-001	6.8894424613E-002
8.0000000000E-001	6.9017036412E-002
8.1666666667E-001	6.9137123519E-002
8.3333333333E-001	6.9254830302E-002
8.5000000000E-001	6.9370291668E-002
8.6666666667E-001	6.9483633822E-002
8.8333333333E-001	6.9594974950E-002
9.0000000000E-001	6.9704425837E-002
9.1666666667E-001	6.9812090424E-002
9.3333333333E-001	6.9918066316E-002
9.5000000000E-001	7.0022445242E-002
9.6666666667E-001	7.0125313475E-002
9.8333333333E-001	7.0226752220E-002
1.0000000000E+000	7.0326837958E-002
1.0166666667E+000	7.0425642776E-002
1.0333333333E+000	7.0523234655E-002
1.0500000000E+000	7.0619677746E-002
1.0666666667E+000	7.0715032616E-002
1.0833333333E+000	7.0809356482E-002
1.1000000000E+000	7.0902703418E-002
1.1166666667E+000	7.0995124556E-002
1.1333333333E+000	7.1086668263E-002
1.1500000000E+000	7.1177380311E-002
1.1666666667E+000	7.1267304030E-002
1.1833333333E+000	7.1356480456E-002
1.2000000000E+000	7.1444948461E-002
1.2166666667E+000	7.1532744878E-002
1.2333333333E+000	7.1619904620E-002
1.2500000000E+000	7.1706460785E-002
1.2666666667E+000	7.1792444758E-002
1.2833333333E+000	7.1877886302E-002
1.3000000000E+000	7.1962813650E-002
1.3166666667E+000	7.2047253585E-002
1.3333333333E+000	7.2131231516E-002
1.3500000000E+000	7.2214771553E-002
1.3666666667E+000	7.2297896569E-002
1.3833333333E+000	7.2380628270E-002
1.4000000000E+000	7.2462987248E-002
1.4166666667E+000	7.2544993041E-002
1.4333333333E+000	7.2626664187E-002
1.4500000000E+000	7.2708018267E-002
1.4666666667E+000	7.2789071957E-002
1.4833333333E+000	7.2869841070E-002
1.5000000000E+000	7.2950340600E-002
1.5166666667E+000	7.3030584757E-002
1.5333333333E+000	7.3110587006E-002
1.5500000000E+000	7.3190360102E-002
1.5666666667E+000	7.3269916123E-002
1.5833333333E+000	7.3349266503E-002
1.6000000000E+000	7.3428422058E-002
1.6166666667E+000	7.3507393017E-002
1.6333333333E+000	7.3586189047E-002
1.6500000000E+000	7.3664819281E-002
1.6666666667E+000	7.3743292338E-002
1.6833333333E+000	7.3821616350E-002
1.7000000000E+000	7.3899798981E-002
1.7166666667E+000	7.3977847449E-002
1.7333333333E+000	7.4055768545E-002
1.7500000000E+000	7.4133568652E-002
1.7666666667E+000	7.4211253764E-002
1.7833333333E+000	7.4288829502E-002
1.8000000000E+000	7.4366301128E-002
1.8166666667E+000	7.4443673567E-002
1.8333333333E+000	7.4520951414E-002
1.8500000000E+000	7.4598138955E-002
1.8666666667E+000	7.4675240177E-002
1.8833333333E+000	7.4752258779E-002
1.9000000000E+000	7.4829198191E-002
1.9166666667E+000	7.4906061581E-002
1.9333333333E+000	7.4982851865E-002
1.9500000000E+000	7.5059571722E-002
1.9666666667E+000	7.5136223605E-002
1.9833333333E+000	7.5212809745E-002
2.0000000000E+000	7.5289332168E-002
2.0166666667E+000	7.5365792697E-002
2.0333333333E+000	7.5442192969E-002
2.0500000000E+000	7.5518534436E-002
2.0666666667E+000	7.5594818378E-002
2.0833333333E+000	7.5671045909E-002
2.1000000000E+000	7.5747217984E-002
2.1166666667E+000	7.5823335409E-002
2.1333333333E+000	7.5899398843E-002
2.1500000000E+000	7.5975408812E-002
2.1666666667E+000	7.6051365708E-002
2.1833333333E+000	7.6127269801E-002
2.2000000000E+000	7.6203121240E-002
2.2166666667E+000	7.6278920063E-002
2.2333333333E+000	7.6354666201E-002
2.2500000000E+000	7.6430359482E-002
2.2666666667E+000	7.6505999640E-002
2.2833333333E+000	7.6581586314E-002
2.3000000000E+000	7.6657119058E-002
2.3166666667E+000	7.6732597344E-002
2.3333333333E+000	7.6808020566E-002
2.3500000000E+000	7.6883388043E-002
2.3666666667E+000	7.6958699027E-002
2.3833333333E+000	7.7033952702E-002
2.4000000000E+000	7.7109148192E-002
2.4166666667E+000	7.7184284563E-002
2.4333333333E+000	7.7259360825E-002
2.4500000000E+000	7.7334375939E-002
2.4666666667E+000	7.7409328818E-002
2.4833333333E+000	7.7484218328E-002
2.5000000000E+000	7.7559043296E-002
2.5166666667E+000	7.7633802510E-002
2.5333333333E+000	7.7708494722E-002
2.5500000000E+000	7.7783118649E-002
2.5666666667E+000	7.7857672981E-002
2.5833333333E+000	7.7932156378E-002
2.6000000000E+000	7.8006567475E-002
2.6166666667E+000	7.8080904882E-002
2.6333333333E+000	7.8155167192E-002
2.6500000000E+000	7.8229352976E-002
2.6666666667E+000	7.8303460788E-002
2.6833333333E+000	7.8377489171E-002
2.7000000000E+000	7.8451436650E-002
2.7166666667E+000	7.8525301743E-002
2.7333333333E+000	7.8599082957E-002
