date	CoreTem	SkinTem
0.0000000000E+000	3.6800000000E+001	3.4100000000E+001
1.6666666667E-002	3.6802651271E+001	3.4087351887E+001
3.3333333333E-002	3.6805417751E+001	3.4074420543E+001
5.0000000000E-002	3.6808145779E+001	3.4059358551E+001
6.6666666667E-002	3.6810838887E+001	3.4043295947E+001
8.3333333333E-002	3.6813499862E+001	3.4026320624E+001
1.0000000000E-001	3.6816130899E+001	3.4008507492E+001
1.1666666667E-001	3.6818733760E+001	3.3989922760E+001
1.3333333333E-001	3.6821309870E+001	3.3970626362E+001
1.5000000000E-001	3.6823860401E+001	3.3950673415E+001
1.6666666667E-001	3.6826386323E+001	3.3930115155E+001
1.8333333333E-001	3.6828888446E+001	3.3908998825E+001
2.0000000000E-001	3.6831367453E+001	3.3887368656E+001
2.1666666667E-001	3.6833823923E+001	3.3865250705E+001
2.3333333333E-001	3.6836258347E+001	3.3842649198E+001
2.5000000000E-001	3.6838671143E+001	3.3819604399E+001
2.6666666667E-001	3.6841062670E+001	3.3796154675E+001
2.8333333333E-001	3.6843433242E+001	3.3772336610E+001
3.0000000000E-001	3.6845783129E+001	3.3748185108E+001
3.1666666667E-001	3.6848112569E+001	3.3723733485E+001
3.3333333333E-001	3.6850421773E+001	3.3699013551E+001
3.5000000000E-001	3.6852710928E+001	3.3674055681E+001
3.6666666667E-001	3.6854980201E+001	3.3648888879E+001
3.8333333333E-001	3.6857229743E+001	3.3623540838E+001
4.0000000000E-001	3.6859459691E+001	3.3598053860E+001
4.1666666667E-001	3.6861670173E+001	3.3572469750E+001
4.3333333333E-001	3.6863861310E+001	3.3546818702E+001
4.5000000000E-001	3.6866033217E+001	3.3521124108E+001
4.6666666667E-001	3.6868186003E+001	3.3495405150E+001
4.8333333333E-001	3.6870319771E+001	3.3469678293E+001
5.0000000000E-001	3.6872434621E+001	3.3443958151E+001
5.1666666667E-001	3.6874530647E+001	3.3418257975E+001
5.3333333333E-001	3.6876607942E+001	3.3392588974E+001
5.5000000000E-001	3.6878666595E+001	3.3366961968E+001
5.6666666667E-001	3.6880706695E+001	3.3341387213E+001
5.8333333333E-001	3.6882728326E+001	3.3315874607E+001
6.0000000000E-001	3.6884731576E+001	3.3290433610E+001
6.1666666667E-001	3.6886716528E+001	3.3265073212E+001
6.3333333333E-001	3.6888683266E+001	3.3239801931E+001
6.5000000000E-001	3.6890631875E+001	3.3214628182E+001
6.6666666667E-001	3.6892562439E+001	3.3189564078E+001
6.8333333333E-001	3.6894475044E+001	3.3164622055E+001
7.0000000000E-001	3.6896369777E+001	3.3139813367E+001
7.1666666667E-001	3.6898246727E+001	3.3115148551E+001
7.3333333333E-001	3.6900105984E+001	3.3090637492E+001
7.5000000000E-001	3.6901947641E+001	3.3066289471E+001
7.6666666667E-001	3.6903771791E+001	3.3042113206E+001
7.8333333333E-001	3.6905578529E+001	3.3018116882E+001
8.0000000000E-001	3.6907367954E+001	3.2994308184E+001
8.1666666667E-001	3.6909140163E+001	3.2970694320E+001
8.3333333333E-001	3.6910895259E+001	3.2947282046E+001
8.5000000000E-001	3.6912633344E+001	3.2924077685E+001
8.6666666667E-001	3.6914354521E+001	3.2901087150E+001
8.8333333333E-001	3.6916058898E+001	3.2878315963E+001
9.0000000000E-001	3.6917746582E+001	3.2855769270E+001
9.1666666667E-001	3.6919417683E+001	3.2833451859E+001
9.3333333333E-001	3.6921072311E+001	3.2811368175E+001
9.5000000000E-001	3.6922710579E+001	3.2789522338E+001
9.6666666667E-001	3.6924332602E+001	3.2767918153E+001
9.8333333333E-001	3.6925938494E+001	3.2746559128E+001
1.0000000000E+000	3.6927528372E+001	3.2725448484E+001
1.0166666667E+000	3.6929102356E+001	3.2704589169E+001
1.0333333333E+000	3.6930660563E+001	3.2683983868E+001
1.0500000000E+000	3.6932203115E+001	3.2663635018E+001
1.0666666667E+000	3.6933730134E+001	3.2643544816E+001
1.0833333333E+000	3.6935241742E+001	3.2623715232E+001
1.1000000000E+000	3.6936738063E+001	3.2604148014E+001
1.1166666667E+000	3.6938219221E+001	3.2584844707E+001
1.1333333333E+000	3.6939685343E+001	3.2565806650E+001
1.1500000000E+000	3.6941136555E+001	3.2547034998E+001
1.1666666667E+000	3.6942572983E+001	3.2528530720E+001
1.1833333333E+000	3.6943994756E+001	3.2510294612E+001
1.2000000000E+000	3.6945402001E+001	3.2492327306E+001
1.2166666667E+000	3.6946794849E+001	3.2474629272E+001
1.2333333333E+000	3.6948173428E+001	3.2457200834E+001
1.2500000000E+000	3.6949537868E+001	3.2440042167E+001
1.2666666667E+000	3.6950888299E+001	3.2423153311E+001
1.2833333333E+000	3.6952224853E+001	3.2406534175E+001
1.3000000000E+000	3.6953547659E+001	3.2390184543E+001
1.3166666667E+000	3.6954856850E+001	3.2374104078E+001
1.3333333333E+000	3.6956152555E+001	3.2358292333E+001
1.3500000000E+000	3.6957434907E+001	3.2342748749E+001
1.3666666667E+000	3.6958704036E+001	3.2327472668E+001
1.3833333333E+000	3.6959960075E+001	3.2312463331E+001
1.4000000000E+000	3.6961203155E+001	3.2297719888E+001
1.4166666667E+000	3.6962433406E+001	3.2283241400E+001
1.4333333333E+000	3.6963650960E+001	3.2269026843E+001
1.4500000000E+000	3.6964855948E+001	3.2255075114E+001
1.4666666667E+000	3.6966048500E+001	3.2241385034E+001
1.4833333333E+000	3.6967228748E+001	3.2227955352E+001
1.5000000000E+000	3.6968396822E+001	3.2214784749E+001
1.5166666667E+000	3.6969552850E+001	3.2201871842E+001
1.5333333333E+000	3.6970696964E+001	3.2189215186E+001
1.5500000000E+000	3.6971829291E+001	3.2176813278E+001
1.5666666667E+000	3.6972949961E+001	3.2164664562E+001
1.5833333333E+000	3.6974059102E+001	3.2152767428E+001
1.6000000000E+000	3.6975156842E+001	3.2141120218E+001
1.6166666667E+000	3.6976243308E+001	3.2129721231E+001
1.6333333333E+000	3.6977318626E+001	3.2118568719E+001
1.6500000000E+000	3.6978382923E+001	3.2107660895E+001
1.6666666667E+000	3.6979436324E+001	3.2096995935E+001
1.6833333333E+000	3.6980478955E+001	3.2086571978E+001
1.7000000000E+000	3.6981510938E+001	3.2076387130E+001
1.7166666667E+000	3.6982532399E+001	3.2066439466E+001
1.7333333333E+000	3.6983543459E+001	3.2056727031E+001
1.7500000000E+000	3.6984544241E+001	3.2047247844E+001
1.7666666667E+000	3.6985534867E+001	3.2037999900E+001
1.7833333333E+000	3.6986515456E+001	3.2028981169E+001
1.8000000000E+000	3.6987486129E+001	3.2020189600E+001
1.8166666667E+000	3.6988447005E+001	3.2011623122E+001
1.8333333333E+000	3.6989398202E+001	3.2003279649E+001
1.8500000000E+000	3.6990339838E+001	3.1995157074E+001
1.8666666667E+000	3.6991272029E+001	3.1987253279E+001
1.8833333333E+000	3.6992194891E+001	3.1979566131E+001
1.9000000000E+000	3.6993108538E+001	3.1972093485E+001
1.9166666667E+000	3.6994013086E+001	3.1964833185E+001
1.9333333333E+000	3.6994908647E+001	3.1957783068E+001
1.9500000000E+000	3.6995795333E+001	3.1950940960E+001
